Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-4.850000,1.900000,-90.000000,bottom
"J1","PJ-102AH","PJ-102AH",-5.200000,2.900000,-90.000000,bottom
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-0.500000,3.400000,-90.000000,bottom
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",4.593338,2.200000,180.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",1.100000,2.450000,0.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",0.450000,2.800000,180.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",0.200000,3.000000,180.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",0.250000,2.650000,90.000000,top
"C5","C_0805_22pf","C_0805_2012Metric",0.400000,1.900000,-90.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",4.450000,2.600000,180.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",4.500000,3.100000,180.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",2.550000,2.350000,180.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",2.700000,2.350000,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",1.200000,2.250000,180.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.700000,2.850000,90.000000,top
"DS2","TC1602A-01T","TC1602A-01T",1.440157,1.604626,0.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",0.750000,0.600000,-90.000000,top
"Q1","NPN_2N3904_SOT23","SOT-23",4.050000,2.350000,0.000000,top
"R1","R_0805_2.2K","R_0805_2012Metric",1.050000,2.250000,0.000000,top
"R2","R_0805_10K","R_0805_2012Metric",0.200000,3.100000,0.000000,top
"R3","R_0805_47","R_0805_2012Metric",0.766535,3.250000,0.000000,top
"R4","R_0805_47","R_0805_2012Metric",0.450000,3.200000,0.000000,top
"R5","R_0805_1K","R_0805_2012Metric",4.850000,2.200000,90.000000,top
"R6","R_0805_10K","R_0805_2012Metric",0.250000,1.100000,90.000000,top
"R7","R_0805_10K","R_0805_2012Metric",0.250000,1.250000,-90.000000,top
"R8","R_0805_4.7K","R_0805_2012Metric",1.050000,3.000000,90.000000,top
"R9","R_0805_4.7K","R_0805_2012Metric",1.050000,3.200000,-90.000000,top
"R10","R_0805_10K","R_0805_2012Metric",1.050000,1.500000,90.000000,top
"R11","R_0805_2.2K","R_0805_2012Metric",0.500000,1.600000,-90.000000,top
"R12","R_0805_22K","R_0805_2012Metric",3.800000,2.200000,180.000000,top
"R13","R_0805_47","R_0805_2012Metric",2.800000,1.850000,180.000000,top
"RV2","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",1.600591,2.000000,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.000000,3.250000,0.000000,top
"SW5","RotaryEncoder_Switch","RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles",0.364567,1.248425,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",0.600000,3.150000,0.000000,top
"U2","L7805","TO-252-2",4.416732,2.860039,180.000000,top
"U3","MAX7219","DIP-24_W7.62mm",2.149803,1.950394,90.000000,top
"U4","DS1307_DIP-8","DIP-8_W7.62mm",1.300394,3.399606,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",0.400000,2.350000,90.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.150000,3.350000,-90.000000,top
