"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
2;"U2";"TO-252-2";1;"L7805";;;
3;"U4";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
4;"DS2";"TC1602A-01T";1;"TC1602A-01T";;;
5;"R2,R6,R7,R10";"R_0805_2012Metric";4;"R_0805_10K";;;
6;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
7;"R9,R8";"R_0805_2012Metric";2;"R_0805_4.7K";;;
8;"C8,C3,C1,C2,C7";"C_0805_2012Metric";5;"C_0805_0.1uf";;;
9;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
10;"C5,C4";"C_0805_2012Metric";2;"C_0805_22pf";;;
11;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
12;"U3";"DIP-24_W7.62mm";1;"MAX7219";;;
13;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
14;"TP4,TP2,TP1,TP5,TP3";"TestPoint_THTPad_D2.0mm_Drill1.0mm";5;"TestPoint";;;
15;"R4,R3,R13";"R_0805_2012Metric";3;"R_0805_47";;;
16;"RV2";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
17;"SW5";"RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles";1;"RotaryEncoder_Switch";;;
18;"SW1";"SW_SPST_Omron_B3FS-100xP";1;"Omron_B3F_SPST";;;
19;"R12";"R_0805_2012Metric";1;"R_0805_22K";;;
20;"R11,R1";"R_0805_2012Metric";2;"R_0805_2.2K";;;
21;"Q1";"SOT-23";1;"NPN_2N3904_SOT23";;;
22;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
23;"DS1";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
24;"R5";"R_0805_2012Metric";1;"R_0805_1K";;;
25;"C9";"C_0805_2012Metric";1;"C_0805_10uf";;;
26;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
27;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
28;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
29;"J1";"PJ-102AH";1;"PJ-102AH";;;
30;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
